{'device_time_stamp': 171370730841, 'system_time_stamp': 102650993859, 'left_gaze_point_on_display_area': (0.1737086921930313, 0.23489806056022644), 'left_gaze_point_in_user_coordinate_system': (-168.06350708007812, 245.63247680664062, 78.76107788085938), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.5771484375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-15.082877159118652, -1.786818265914917, 659.4691772460938), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5304038524627686, 0.5077075958251953, 0.47092923521995544), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.15740355849266052, 0.2254335880279541), 'right_gaze_point_in_user_coordinate_system': (-176.68191528320312, 248.57054138183594, 79.83051300048828), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.605560302734375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (49.049896240234375, 2.999185085296631, 651.6716918945312), 'right_gaze_origin_in_trackbox_coordinate_system': (0.39828065037727356, 0.49765655398368835, 0.45774921774864197), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370747508, 'system_time_stamp': 102651010525, 'left_gaze_point_on_display_area': (0.17352263629436493, 0.234471395611763), 'left_gaze_point_in_user_coordinate_system': (-168.16183471679688, 245.76490783691406, 78.80931854248047), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.5847625732421875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-15.310625076293945, -1.88527512550354, 659.4214477539062), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5308712720870972, 0.5079081058502197, 0.470833957195282), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.15865458548069, 0.23658861219882965), 'right_gaze_point_in_user_coordinate_system': (-176.0206756591797, 245.1076202392578, 78.57015228271484), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.6110076904296875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (48.832542419433594, 2.9593729972839355, 651.620849609375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.39872369170188904, 0.49773678183555603, 0.457602322101593), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370764177, 'system_time_stamp': 102651027193, 'left_gaze_point_on_display_area': (0.1670578122138977, 0.22798779606819153), 'left_gaze_point_in_user_coordinate_system': (-171.57896423339844, 247.77764892578125, 79.54186248779297), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.565460205078125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-15.53136920928955, -1.955527424812317, 659.2786254882812), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5313283205032349, 0.5080482959747314, 0.47053274512290955), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.15799255669116974, 0.24351751804351807), 'right_gaze_point_in_user_coordinate_system': (-176.37059020996094, 242.9566650390625, 77.7872085571289), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.60894775390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (48.60731887817383, 2.921492576599121, 651.5460815429688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.39917993545532227, 0.4978120028972626, 0.45740237832069397), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370780844, 'system_time_stamp': 102651043859, 'left_gaze_point_on_display_area': (0.16683726012706757, 0.23166798055171967), 'left_gaze_point_in_user_coordinate_system': (-171.69554138183594, 246.63516235351562, 79.1261215209961), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.529693603515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-15.754638671875, -1.9898219108581543, 659.1702880859375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5317891836166382, 0.5081155300140381, 0.47030773758888245), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1645459681749344, 0.2384221851825714), 'right_gaze_point_in_user_coordinate_system': (-172.90664672851562, 244.53842163085938, 78.36296081542969), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.5642852783203125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (48.38700866699219, 2.904245376586914, 651.470947265625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3996260166168213, 0.4978443384170532, 0.45720359683036804), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370797510, 'system_time_stamp': 102651060525, 'left_gaze_point_on_display_area': (0.16919879615306854, 0.2263617217540741), 'left_gaze_point_in_user_coordinate_system': (-170.4473114013672, 248.28240966796875, 79.72563934326172), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.519744873046875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-15.97586441040039, -1.9985488653182983, 659.170654296875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5322414636611938, 0.5081331133842468, 0.4703196585178375), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.15841513872146606, 0.25381988286972046), 'right_gaze_point_in_user_coordinate_system': (-176.147216796875, 239.75843811035156, 76.62321472167969), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.580474853515625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (48.171173095703125, 2.9166741371154785, 651.43115234375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40006741881370544, 0.49781644344329834, 0.457083523273468), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370814177, 'system_time_stamp': 102651077192, 'left_gaze_point_on_display_area': (0.17287921905517578, 0.23330280184745789), 'left_gaze_point_in_user_coordinate_system': (-168.50192260742188, 246.127685546875, 78.94134521484375), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.5251617431640625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-16.182666778564453, -2.0081539154052734, 659.0157470703125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5326707363128662, 0.5081483721733093, 0.4699936509132385), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1640995293855667, 0.2453024536371231), 'right_gaze_point_in_user_coordinate_system': (-173.1426239013672, 242.40255737304688, 77.58556365966797), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.541229248046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (47.956172943115234, 2.9343466758728027, 651.3089599609375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40049654245376587, 0.4977741539478302, 0.4567853808403015), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370830843, 'system_time_stamp': 102651093858, 'left_gaze_point_on_display_area': (0.11471624672412872, 0.22270384430885315), 'left_gaze_point_in_user_coordinate_system': (-199.24522399902344, 249.41795349121094, 80.13893127441406), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.5164947509765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-16.450944900512695, -2.029785633087158, 659.0013427734375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5332200527191162, 0.5081920027732849, 0.469976007938385), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.12943574786186218, 0.22561435401439667), 'right_gaze_point_in_user_coordinate_system': (-191.46490478515625, 248.51441955566406, 79.81011199951172), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.537750244140625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (47.63457489013672, 2.9381895065307617, 651.44921875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40117987990379333, 0.49777159094810486, 0.45703908801078796), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370847511, 'system_time_stamp': 102651110526, 'left_gaze_point_on_display_area': (0.11499946564435959, 0.21080467104911804), 'left_gaze_point_in_user_coordinate_system': (-199.09552001953125, 253.11187744140625, 81.48339080810547), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.5028839111328125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-16.724376678466797, -2.0977320671081543, 659.0465087890625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5337772369384766, 0.508332371711731, 0.4700872004032135), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11235832422971725, 0.23602956533432007), 'right_gaze_point_in_user_coordinate_system': (-200.49154663085938, 245.28118896484375, 78.63326263427734), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.533966064453125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (47.34156799316406, 2.9285225868225098, 651.3367919921875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4017718434333801, 0.49778640270233154, 0.45674917101860046), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370864177, 'system_time_stamp': 102651127192, 'left_gaze_point_on_display_area': (0.1136462613940239, 0.20263363420963287), 'left_gaze_point_in_user_coordinate_system': (-199.810791015625, 255.64842224121094, 82.40660858154297), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.447113037109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-16.949195861816406, -2.152024507522583, 658.9141845703125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5342428684234619, 0.5084401369094849, 0.469810426235199), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1144777312874794, 0.22832149267196655), 'right_gaze_point_in_user_coordinate_system': (-199.37127685546875, 247.6740264892578, 79.50418090820312), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.5209808349609375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (47.108436584472656, 2.9425063133239746, 651.2279052734375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40224045515060425, 0.49775230884552, 0.45647743344306946), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370880844, 'system_time_stamp': 102651143858, 'left_gaze_point_on_display_area': (0.12230002135038376, 0.19928346574306488), 'left_gaze_point_in_user_coordinate_system': (-195.23663330078125, 256.68841552734375, 82.78516387939453), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.4795684814453125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-17.199661254882812, -2.1772825717926025, 658.864501953125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5347573757171631, 0.5084903240203857, 0.46971580386161804), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11632605642080307, 0.22489573061466217), 'right_gaze_point_in_user_coordinate_system': (-198.39430236816406, 248.7375030517578, 79.89122772216797), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.4900665283203125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (46.87339782714844, 2.9729413986206055, 651.2723999023438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40273231267929077, 0.4976905286312103, 0.4565388560295105), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 171370897514, 'system_time_stamp': 102651160528, 'left_gaze_point_on_display_area': (0.11939292401075363, 0.2171182781457901), 'left_gaze_point_in_user_coordinate_system': (-196.7732391357422, 251.15188598632812, 80.77006530761719), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.451507568359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-17.41537094116211, -2.1926350593566895, 658.7802124023438), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5352024435997009, 0.5085194110870361, 0.469544380903244), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11094824224710464, 0.22187887132167816), 'right_gaze_point_in_user_coordinate_system': (-201.23687744140625, 249.67404174804688, 80.23213958740234), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.5042572021484375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (46.64564514160156, 2.9970250129699707, 651.244873046875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.40320006012916565, 0.49763891100883484, 0.45644518733024597), 'right_gaze_origin_validity': 1}
