{'device_time_stamp': 111502661117, 'system_time_stamp': 111795206755, 'left_gaze_point_on_display_area': (0.3622421324253082, 0.3275229036808014), 'left_gaze_point_in_user_coordinate_system': (-68.41008758544922, 216.8784942626953, 68.29560089111328), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.863983154296875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.339462280273438, 26.707828521728516, 633.8839721679688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5214657783508301, 0.4461227059364319, 0.4173465967178345), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3540436625480652, 0.31868642568588257), 'right_gaze_point_in_user_coordinate_system': (-72.74358367919922, 219.6216583251953, 69.2939682006836), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9078216552734375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (56.03425979614258, 25.174461364746094, 630.8778076171875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3800397217273712, 0.44918420910835266, 0.41578343510627747), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502677784, 'system_time_stamp': 111795223423, 'left_gaze_point_on_display_area': (0.3661472797393799, 0.3222905993461609), 'left_gaze_point_in_user_coordinate_system': (-66.3459701538086, 218.50279235839844, 68.88678741455078), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.8620758056640625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.254021644592285, 26.70297622680664, 633.9986572265625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5212801694869995, 0.44614747166633606, 0.41759192943573), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.35430416464805603, 0.3159046769142151), 'right_gaze_point_in_user_coordinate_system': (-72.60588836669922, 220.48519897460938, 69.6082992553711), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9075775146484375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (56.09788513183594, 25.11181640625, 630.8693237304688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.37990260124206543, 0.44931772351264954, 0.4157694876194), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502694451, 'system_time_stamp': 111795240092, 'left_gaze_point_on_display_area': (0.3603077530860901, 0.33543550968170166), 'left_gaze_point_in_user_coordinate_system': (-69.43257141113281, 214.4221954345703, 67.40148162841797), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.85791015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.18739128112793, 26.732179641723633, 633.855712890625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5211442708969116, 0.4460675120353699, 0.4172830283641815), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.34918320178985596, 0.3160686492919922), 'right_gaze_point_in_user_coordinate_system': (-75.31267547607422, 220.43434143066406, 69.5897216796875), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9038238525390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (56.16873550415039, 25.13473892211914, 631.0355224609375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.379787415266037, 0.449288547039032, 0.4161452651023865), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502711119, 'system_time_stamp': 111795256764, 'left_gaze_point_on_display_area': (0.35849571228027344, 0.32356294989585876), 'left_gaze_point_in_user_coordinate_system': (-70.39034271240234, 218.1078338623047, 68.74299621582031), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.8652496337890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.165007591247559, 26.786449432373047, 634.0894775390625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5210877656936646, 0.44598057866096497, 0.41779640316963196), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.347449392080307, 0.31726109981536865), 'right_gaze_point_in_user_coordinate_system': (-76.22911834716797, 220.06414794921875, 69.45503234863281), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9054718017578125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (56.18975067138672, 25.177040100097656, 631.13134765625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3797631561756134, 0.4492093622684479, 0.416361540555954), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502727786, 'system_time_stamp': 111795273432, 'left_gaze_point_on_display_area': (0.3597904443740845, 0.3340846598148346), 'left_gaze_point_in_user_coordinate_system': (-69.70599365234375, 214.84153747558594, 67.55412292480469), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.8716278076171875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.195558547973633, 26.802494049072266, 634.110107421875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5211517214775085, 0.4459487795829773, 0.417844295501709), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3513643443584442, 0.32799115777015686), 'right_gaze_point_in_user_coordinate_system': (-74.15977478027344, 216.73316955566406, 68.24260711669922), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.905670166015625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (56.13361358642578, 25.21759605407715, 631.184326171875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3798938989639282, 0.4491285979747772, 0.41647034883499146), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502744453, 'system_time_stamp': 111795290100, 'left_gaze_point_on_display_area': (0.33998531103134155, 0.29798439145088196), 'left_gaze_point_in_user_coordinate_system': (-80.17442321777344, 226.04827880859375, 71.63308715820312), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.863616943359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.333759307861328, 26.88530158996582, 634.3182373046875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5214365124702454, 0.4457974433898926, 0.41831108927726746), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.333487868309021, 0.29750990867614746), 'right_gaze_point_in_user_coordinate_system': (-83.60879516601562, 226.19557189941406, 71.68668365478516), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.934173583984375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.928897857666016, 25.297332763671875, 631.3426513671875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3803631067276001, 0.44897615909576416, 0.41678348183631897), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502761119, 'system_time_stamp': 111795306766, 'left_gaze_point_on_display_area': (0.3236689269542694, 0.2607864737510681), 'left_gaze_point_in_user_coordinate_system': (-88.7988052368164, 237.59576416015625, 75.83607482910156), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.8895416259765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.42727279663086, 26.931053161621094, 634.4594116210938), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5216292142868042, 0.44571709632873535, 0.418626606464386), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3110482692718506, 0.2640538215637207), 'right_gaze_point_in_user_coordinate_system': (-95.46971893310547, 236.58152770996094, 75.46678924560547), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9804229736328125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.75159454345703, 25.410083770751953, 631.6517333984375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3808058500289917, 0.44877126812934875, 0.41743192076683044), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502777786, 'system_time_stamp': 111795323434, 'left_gaze_point_on_display_area': (0.3191370964050293, 0.2683809697628021), 'left_gaze_point_in_user_coordinate_system': (-91.19417572021484, 235.2382049560547, 74.97792053222656), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9147796630859375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.510137557983398, 26.912872314453125, 634.5678100585938), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5218005776405334, 0.44576916098594666, 0.41886237263679504), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.31633710861206055, 0.2593116760253906), 'right_gaze_point_in_user_coordinate_system': (-92.6741714477539, 238.05361938476562, 76.00262451171875), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.982269287109375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.685997009277344, 25.435466766357422, 631.6524047851562), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3809453845024109, 0.4487168788909912, 0.4174240827560425), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502794453, 'system_time_stamp': 111795340101, 'left_gaze_point_on_display_area': (0.3215542137622833, 0.2575642168521881), 'left_gaze_point_in_user_coordinate_system': (-89.91657257080078, 238.59609985351562, 76.2000961303711), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9141998291015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.58289909362793, 26.93523597717285, 634.56494140625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5219547748565674, 0.445720911026001, 0.4188617169857025), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.3147282302379608, 0.2624518573284149), 'right_gaze_point_in_user_coordinate_system': (-93.52461242675781, 237.07882690429688, 75.64784240722656), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9737548828125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.659812927246094, 25.49563980102539, 631.8690185546875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3810468912124634, 0.4486139416694641, 0.4178948402404785), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502811119, 'system_time_stamp': 111795356767, 'left_gaze_point_on_display_area': (0.3240605890750885, 0.2612482011318207), 'left_gaze_point_in_user_coordinate_system': (-88.59178161621094, 237.4524688720703, 75.78382873535156), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9140625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.672508239746094, 26.980138778686523, 634.7171630859375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5221384763717651, 0.4456437826156616, 0.4192008674144745), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.31205514073371887, 0.24818558990955353), 'right_gaze_point_in_user_coordinate_system': (-94.93751525878906, 241.50753784179688, 77.25980377197266), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9410400390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.60100173950195, 25.552593231201172, 632.0700073242188), 'right_gaze_origin_in_trackbox_coordinate_system': (0.38121435046195984, 0.4485160708427429, 0.41832539439201355), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 111502827786, 'system_time_stamp': 111795373435, 'left_gaze_point_on_display_area': (0.3217519223690033, 0.27108654379844666), 'left_gaze_point_in_user_coordinate_system': (-89.81206512451172, 234.39830017089844, 74.67223358154297), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 2.9172821044921875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-10.761177062988281, 26.980064392089844, 634.702392578125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5223268866539001, 0.4456419348716736, 0.419172078371048), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.31298911571502686, 0.25724029541015625), 'right_gaze_point_in_user_coordinate_system': (-94.44384002685547, 238.6966552734375, 76.23667907714844), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 2.9647979736328125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (55.47703552246094, 25.521900177001953, 631.5197143554688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3813613951206207, 0.44851526618003845, 0.417108416557312), 'right_gaze_origin_validity': 1}
