{'device_time_stamp': 184518991062, 'system_time_stamp': 184811028161, 'left_gaze_point_on_display_area': (0.06992484629154205, 0.220445454120636), 'left_gaze_point_in_user_coordinate_system': (-222.92068481445312, 250.1190185546875, 80.39411163330078), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8046722412109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.34259796142578, -9.556695938110352, 612.0042724609375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5885600447654724, 0.5234588980674744, 0.3701053857803345), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.045180901885032654, 0.1736157089471817), 'right_gaze_point_in_user_coordinate_system': (-235.99960327148438, 264.6565856933594, 85.6853256225586), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.826629638671875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (20.596778869628906, -6.1337385177612305, 611.8525390625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45409494638442993, 0.5160036087036133, 0.3676978051662445), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519007734, 'system_time_stamp': 184811044818, 'left_gaze_point_on_display_area': (0.07379802316427231, 0.22807881236076355), 'left_gaze_point_in_user_coordinate_system': (-220.87342834472656, 247.74937438964844, 79.53163146972656), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8433380126953125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.2430534362793, -9.53239631652832, 611.933349609375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5883524417877197, 0.5234051942825317, 0.369937539100647), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.045474447309970856, 0.15189820528030396), 'right_gaze_point_in_user_coordinate_system': (-235.84446716308594, 271.3984375, 88.13920593261719), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.832061767578125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (20.743122100830078, -6.020861625671387, 611.6683959960938), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45375579595565796, 0.515751302242279, 0.367310106754303), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519024400, 'system_time_stamp': 184811061453, 'left_gaze_point_on_display_area': (0.08549904078245163, 0.22919520735740662), 'left_gaze_point_in_user_coordinate_system': (-214.6885986328125, 247.40280151367188, 79.40548706054688), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.813995361328125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.14901351928711, -9.515743255615234, 611.79931640625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5881673097610474, 0.5233680605888367, 0.3696335554122925), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.0538775660097599, 0.16243407130241394), 'right_gaze_point_in_user_coordinate_system': (-231.40280151367188, 268.1277160644531, 86.94874572753906), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8360443115234375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (20.82526397705078, -5.950804233551025, 611.498046875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45355960726737976, 0.5155937075614929, 0.36694708466529846), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519041067, 'system_time_stamp': 184811078086, 'left_gaze_point_on_display_area': (0.08492022007703781, 0.23370441794395447), 'left_gaze_point_in_user_coordinate_system': (-214.99453735351562, 246.0030059814453, 78.89598846435547), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8317108154296875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.07611846923828, -9.555147171020508, 611.7664794921875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5880122184753418, 0.5234552025794983, 0.36955195665359497), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.05222827196121216, 0.16219188272953033), 'right_gaze_point_in_user_coordinate_system': (-232.27456665039062, 268.2029113769531, 86.97606658935547), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.829986572265625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (20.924118041992188, -5.924294471740723, 611.3267822265625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4533262848854065, 0.5155324339866638, 0.3665827214717865), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519057734, 'system_time_stamp': 184811094734, 'left_gaze_point_on_display_area': (0.08423952013254166, 0.22869768738746643), 'left_gaze_point_in_user_coordinate_system': (-215.35435485839844, 247.55726623535156, 79.46173095703125), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8227691650390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-40.00355529785156, -9.562541961669922, 611.7869873046875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5878490805625916, 0.5234717130661011, 0.36958616971969604), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.05464233085513115, 0.1646556407213211), 'right_gaze_point_in_user_coordinate_system': (-230.9985809326172, 267.4380798339844, 86.69776916503906), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.82666015625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.003143310546875, -5.881114959716797, 611.26025390625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4531457722187042, 0.5154359340667725, 0.36644458770751953), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519074401, 'system_time_stamp': 184811111396, 'left_gaze_point_on_display_area': (0.08458895236253738, 0.22610414028167725), 'left_gaze_point_in_user_coordinate_system': (-215.1696319580078, 248.36236572265625, 79.75476837158203), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7973785400390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.92344665527344, -9.564383506774902, 611.817138671875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5876676440238953, 0.5234760642051697, 0.3696403205394745), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.057785842567682266, 0.16035476326942444), 'right_gaze_point_in_user_coordinate_system': (-229.3369903564453, 268.7732238769531, 87.18367767333984), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8338623046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.065731048583984, -5.827136039733887, 610.9050903320312), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45297640562057495, 0.5153105854988098, 0.365678608417511), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519091067, 'system_time_stamp': 184811128056, 'left_gaze_point_on_display_area': (0.08577891439199448, 0.22591684758663177), 'left_gaze_point_in_user_coordinate_system': (-214.54066467285156, 248.4205322265625, 79.77588653564453), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.7952423095703125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.846221923828125, -9.568717002868652, 611.8790893554688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.587487518787384, 0.5234859585762024, 0.36976397037506104), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.05501757189631462, 0.16607478260993958), 'right_gaze_point_in_user_coordinate_system': (-230.8002471923828, 266.99755859375, 86.537353515625), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8343658447265625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.15894317626953, -5.766962051391602, 611.0958862304688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45278671383857727, 0.5151806473731995, 0.36610108613967896), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519107734, 'system_time_stamp': 184811144718, 'left_gaze_point_on_display_area': (0.0841977670788765, 0.23998036980628967), 'left_gaze_point_in_user_coordinate_system': (-215.37640380859375, 244.0547332763672, 78.18685913085938), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.82843017578125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.74748229980469, -9.602362632751465, 611.9122924804688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5872647762298584, 0.523560643196106, 0.36982208490371704), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.054332833737134933, 0.17455972731113434), 'right_gaze_point_in_user_coordinate_system': (-231.16217041015625, 264.363525390625, 85.57867431640625), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8389129638671875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.238250732421875, -5.727308750152588, 610.9052124023438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.452594518661499, 0.5150898098945618, 0.3656933307647705), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519124400, 'system_time_stamp': 184811161379, 'left_gaze_point_on_display_area': (0.08226308971643448, 0.23247188329696655), 'left_gaze_point_in_user_coordinate_system': (-216.39901733398438, 246.3856201171875, 79.03524017333984), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8155975341796875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.617332458496094, -9.60819149017334, 611.8768310546875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.586983859539032, 0.5235736966133118, 0.36972710490226746), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.05697030946612358, 0.1642390340566635), 'right_gaze_point_in_user_coordinate_system': (-229.76806640625, 267.5674133300781, 86.74479675292969), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8441619873046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.37223243713379, -5.639676570892334, 611.1043090820312), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4523155093193054, 0.5148994326591492, 0.36613741517066956), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519141068, 'system_time_stamp': 184811178042, 'left_gaze_point_on_display_area': (0.08635908365249634, 0.22933979332447052), 'left_gaze_point_in_user_coordinate_system': (-214.23399353027344, 247.35791015625, 79.38916015625), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8211822509765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.48777770996094, -9.583274841308594, 612.10107421875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5866624116897583, 0.5235196352005005, 0.370195597410202), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.05853119492530823, 0.1710015833377838), 'right_gaze_point_in_user_coordinate_system': (-228.9430389404297, 265.4681091308594, 85.9807357788086), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.8448028564453125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.484081268310547, -5.517704010009766, 610.73583984375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.45203515887260437, 0.5146229267120361, 0.36534741520881653), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 184519157735, 'system_time_stamp': 184811194704, 'left_gaze_point_on_display_area': (0.08397550135850906, 0.2246156930923462), 'left_gaze_point_in_user_coordinate_system': (-215.493896484375, 248.82444763183594, 79.92291259765625), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.8105621337890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-39.32244110107422, -9.53721809387207, 612.037841796875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.586308479309082, 0.5234180092811584, 0.370035856962204), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.05662209913134575, 0.1677384227514267), 'right_gaze_point_in_user_coordinate_system': (-229.95211791992188, 266.4811096191406, 86.34937286376953), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.83807373046875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (21.63733673095703, -5.363646030426025, 610.8718872070312), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4517078697681427, 0.5142844319343567, 0.3656575083732605), 'right_gaze_origin_validity': 1}
