{'device_time_stamp': 255866615492, 'system_time_stamp': 256157971056, 'left_gaze_point_on_display_area': (0.4419223964214325, 0.2462824434041977), 'left_gaze_point_in_user_coordinate_system': (-26.29339027404785, 242.09832763671875, 77.47481536865234), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2318115234375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.99261474609375, -6.171648979187012, 654.6737060546875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5468664169311523, 0.5166337490081787, 0.46090778708457947), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866632159, 'system_time_stamp': 256157987716, 'left_gaze_point_on_display_area': (0.44218766689300537, 0.2326289564371109), 'left_gaze_point_in_user_coordinate_system': (-26.153175354003906, 246.33685302734375, 79.01748657226562), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.196746826171875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.07296371459961, -6.190258026123047, 654.7273559570312), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5470284223556519, 0.5166728496551514, 0.4610302448272705), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866648826, 'system_time_stamp': 256158004375, 'left_gaze_point_on_display_area': (0.42183125019073486, 0.24299238622188568), 'left_gaze_point_in_user_coordinate_system': (-36.912994384765625, 243.11972045898438, 77.84651947021484), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.23358154296875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.30830192565918, -6.227200508117676, 654.7813720703125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5475091338157654, 0.5167495012283325, 0.4611649215221405), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866665492, 'system_time_stamp': 256158021033, 'left_gaze_point_on_display_area': (0.28074732422828674, 0.22172532975673676), 'left_gaze_point_in_user_coordinate_system': (-111.48592376708984, 249.72169494628906, 80.24950408935547), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2820587158203125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-23.935993194580078, -6.2730817794799805, 655.2320556640625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5487716197967529, 0.5168493986129761, 0.46219202876091003), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866682159, 'system_time_stamp': 256158037698, 'left_gaze_point_on_display_area': (0.14860683679580688, 0.18726912140846252), 'left_gaze_point_in_user_coordinate_system': (-181.33163452148438, 260.4181213378906, 84.14266204833984), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1953277587890625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.471397399902344, -6.376582145690918, 655.5958862304688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5498487949371338, 0.517067015171051, 0.46302345395088196), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866698825, 'system_time_stamp': 256158054362, 'left_gaze_point_on_display_area': (0.14851246774196625, 0.19705848395824432), 'left_gaze_point_in_user_coordinate_system': (-181.38148498535156, 257.379150390625, 83.03650665283203), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2905120849609375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.571815490722656, -6.452661037445068, 655.7782592773438), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5500433444976807, 0.5172263383865356, 0.4634266793727875), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866715492, 'system_time_stamp': 256158071028, 'left_gaze_point_on_display_area': (0.15243859589099884, 0.1922653764486313), 'left_gaze_point_in_user_coordinate_system': (-179.3062744140625, 258.86712646484375, 83.5781021118164), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2726287841796875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.647985458374023, -6.492772102355957, 655.7589721679688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5502011179924011, 0.51730877161026, 0.46339043974876404), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866732158, 'system_time_stamp': 256158087693, 'left_gaze_point_on_display_area': (0.1587550938129425, 0.19757823646068573), 'left_gaze_point_in_user_coordinate_system': (-175.967529296875, 257.2177734375, 82.97785186767578), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2529144287109375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.753215789794922, -6.494424819946289, 656.08447265625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5503960847854614, 0.5173161625862122, 0.464106023311615), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866748825, 'system_time_stamp': 256158104359, 'left_gaze_point_on_display_area': (0.15226514637470245, 0.193382129073143), 'left_gaze_point_in_user_coordinate_system': (-179.39794921875, 258.5204162597656, 83.45194244384766), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2378692626953125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.820146560668945, -6.4929046630859375, 656.1268920898438), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5505307912826538, 0.5173134207725525, 0.46420368552207947), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866765491, 'system_time_stamp': 256158121023, 'left_gaze_point_on_display_area': (0.15997806191444397, 0.1888619363307953), 'left_gaze_point_in_user_coordinate_system': (-175.3211212158203, 259.92364501953125, 83.96265411376953), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.24224853515625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-24.915132522583008, -6.5068745613098145, 656.27392578125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5507161617279053, 0.5173439383506775, 0.4645306169986725), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 255866782158, 'system_time_stamp': 256158137689, 'left_gaze_point_on_display_area': (0.15623949468135834, 0.2075536698102951), 'left_gaze_point_in_user_coordinate_system': (-177.29721069335938, 254.12109375, 81.8507308959961), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2336578369140625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-25.008750915527344, -6.487987041473389, 656.3865966796875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5509008169174194, 0.5173062086105347, 0.464783251285553), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
