{'device_time_stamp': 254922580935, 'system_time_stamp': 184318607676, 'left_gaze_point_on_display_area': (0.17533741891384125, 0.1928914189338684), 'left_gaze_point_in_user_coordinate_system': (-167.2025909423828, 258.6727600097656, 83.50739288330078), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1221923828125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-19.699832916259766, 13.325052261352539, 665.0762939453125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5395280122756958, 0.47706446051597595, 0.4841713309288025), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.18353697657585144, 0.1603764295578003), 'right_gaze_point_in_user_coordinate_system': (-162.86856079101562, 268.7664794921875, 87.1812515258789), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.137481689453125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (40.84227752685547, 14.797856330871582, 655.7432250976562), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4156697392463684, 0.473445862531662, 0.46611806750297546), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922597606, 'system_time_stamp': 184318624376, 'left_gaze_point_on_display_area': (0.17165033519268036, 0.19567909836769104), 'left_gaze_point_in_user_coordinate_system': (-169.15150451660156, 257.807373046875, 83.19242095947266), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1271820068359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-19.96155548095703, 13.272136688232422, 665.3043212890625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5400474667549133, 0.47718825936317444, 0.48467910289764404), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.19483348727226257, 0.1736525297164917), 'right_gaze_point_in_user_coordinate_system': (-156.8975372314453, 264.6451721191406, 85.68111419677734), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1642913818359375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (40.56078338623047, 14.798843383789062, 655.8966674804688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.41626498103141785, 0.47345539927482605, 0.4664134085178375), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922614272, 'system_time_stamp': 184318641079, 'left_gaze_point_on_display_area': (0.1702689528465271, 0.19633892178535461), 'left_gaze_point_in_user_coordinate_system': (-169.88165283203125, 257.6025390625, 83.11784362792969), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1329498291015625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-20.23617935180664, 13.235158920288086, 665.4334106445312), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5405979752540588, 0.4772724211215973, 0.4849744737148285), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.18557320535182953, 0.16285182535648346), 'right_gaze_point_in_user_coordinate_system': (-161.79225158691406, 267.998046875, 86.90152740478516), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1793060302734375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (40.26254653930664, 14.820011138916016, 655.692138671875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4168562591075897, 0.47339504957199097, 0.465932160615921), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922630939, 'system_time_stamp': 184318657786, 'left_gaze_point_on_display_area': (0.17682918906211853, 0.1941988170146942), 'left_gaze_point_in_user_coordinate_system': (-166.41407775878906, 258.266845703125, 83.35971069335938), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1407470703125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-20.5145320892334, 13.22683334350586, 665.6963500976562), 'left_gaze_origin_in_trackbox_coordinate_system': (0.541148841381073, 0.4773077666759491, 0.4855630695819855), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.18616339564323425, 0.16644611954689026), 'right_gaze_point_in_user_coordinate_system': (-161.4803009033203, 266.88226318359375, 86.49545288085938), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1779022216796875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (39.983665466308594, 14.871445655822754, 655.72314453125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.41743287444114685, 0.4732907712459564, 0.46596720814704895), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922647606, 'system_time_stamp': 184318674464, 'left_gaze_point_on_display_area': (0.176566019654274, 0.20485523343086243), 'left_gaze_point_in_user_coordinate_system': (-166.55320739746094, 254.95877075195312, 82.15557861328125), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1401824951171875, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-20.76007843017578, 13.197242736816406, 665.7532958984375), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5416437983512878, 0.4773716628551483, 0.485700786113739), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.1913396567106247, 0.15730789303779602), 'right_gaze_point_in_user_coordinate_system': (-158.7442626953125, 269.7190856933594, 87.52792358398438), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1476898193359375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (39.72304153442383, 14.922460556030273, 655.98095703125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4179956614971161, 0.4732053279876709, 0.46649646759033203), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922664273, 'system_time_stamp': 184318691137, 'left_gaze_point_on_display_area': (0.17527027428150177, 0.19593766331672668), 'left_gaze_point_in_user_coordinate_system': (-167.23809814453125, 257.7270812988281, 83.16325378417969), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1665191650390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-20.979576110839844, 13.137271881103516, 665.750244140625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5420891642570496, 0.4774931073188782, 0.48570436239242554), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.18365679681301117, 0.1626228392124176), 'right_gaze_point_in_user_coordinate_system': (-162.80519104003906, 268.0691833496094, 86.9273681640625), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.1712646484375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (39.483192443847656, 14.918567657470703, 655.97314453125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4184878468513489, 0.4732123017311096, 0.46644818782806396), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922680939, 'system_time_stamp': 184318707809, 'left_gaze_point_on_display_area': (0.1171746551990509, 0.20837686955928802), 'left_gaze_point_in_user_coordinate_system': (-197.94577026367188, 253.86549377441406, 81.75774383544922), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.1955413818359375, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-21.330028533935547, 13.074849128723145, 666.119140625), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5427797436714172, 0.4776458740234375, 0.48652464151382446), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.14123670756816864, 0.1556558459997177), 'right_gaze_point_in_user_coordinate_system': (-185.22726440429688, 270.23193359375, 87.71465301513672), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.213775634765625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (39.062217712402344, 14.918041229248047, 656.2013549804688), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4193766117095947, 0.4732306897640228, 0.46688881516456604), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922697606, 'system_time_stamp': 184318724482, 'left_gaze_point_on_display_area': (0.08832432329654694, 0.19961988925933838), 'left_gaze_point_in_user_coordinate_system': (-213.19522094726562, 256.5839538574219, 82.74718475341797), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.171539306640625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-21.66538429260254, 13.022455215454102, 666.2559204101562), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5434519052505493, 0.4777615964412689, 0.48684096336364746), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11222518235445023, 0.1689111292362213), 'right_gaze_point_in_user_coordinate_system': (-200.56192016601562, 266.11700439453125, 86.21695709228516), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.22900390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (38.682884216308594, 14.932098388671875, 656.3890380859375), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42017510533332825, 0.47321581840515137, 0.467248797416687), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922714273, 'system_time_stamp': 184318741155, 'left_gaze_point_on_display_area': (0.08900026977062225, 0.20514096319675446), 'left_gaze_point_in_user_coordinate_system': (-212.8379364013672, 254.8700714111328, 82.12330627441406), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.181884765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-21.865676879882812, 13.033636093139648, 666.59814453125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.543838620185852, 0.4777628183364868, 0.4875989854335785), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11929892003536224, 0.16579779982566833), 'right_gaze_point_in_user_coordinate_system': (-196.82296752929688, 267.08355712890625, 86.56864929199219), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.2442474365234375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (38.48407745361328, 14.973730087280273, 656.2802124023438), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4205723702907562, 0.47312095761299133, 0.46699124574661255), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922730940, 'system_time_stamp': 184318757828, 'left_gaze_point_on_display_area': (0.08925826102495193, 0.20461179316043854), 'left_gaze_point_in_user_coordinate_system': (-212.7015838623047, 255.03433227539062, 82.18314361572266), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.2033233642578125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.07329750061035, 13.037376403808594, 666.755126953125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5442503690719604, 0.4777660071849823, 0.48795485496520996), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.11304472386837006, 0.160459503531456), 'right_gaze_point_in_user_coordinate_system': (-200.1287384033203, 268.7406921386719, 87.17182159423828), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.235565185546875, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (38.27149200439453, 15.013015747070312, 656.2213745117188), 'right_gaze_origin_in_trackbox_coordinate_system': (0.4210030734539032, 0.4730348587036133, 0.4668402671813965), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 254922747607, 'system_time_stamp': 184318774500, 'left_gaze_point_on_display_area': (0.09588821232318878, 0.20549580454826355), 'left_gaze_point_in_user_coordinate_system': (-209.1971893310547, 254.75990295410156, 82.08328247070312), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 3.212554931640625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (-22.28252601623535, 13.044289588928223, 666.8507690429688), 'left_gaze_origin_in_trackbox_coordinate_system': (0.5446686744689941, 0.47775840759277344, 0.488178014755249), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.10895868390798569, 0.16062584519386292), 'right_gaze_point_in_user_coordinate_system': (-202.2884979248047, 268.6890869140625, 87.15301513671875), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 3.235137939453125, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (38.08441925048828, 15.055723190307617, 656.4217529296875), 'right_gaze_origin_in_trackbox_coordinate_system': (0.42140746116638184, 0.47296223044395447, 0.46725502610206604), 'right_gaze_origin_validity': 1}
